Dcc, 10:54:36,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:36,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:36,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:36,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:36,039 	 DEBUG 	 AC 4: added token -> available tokens: 14 		
Dcc, 10:54:36,040 	 DEBUG 	 AC 6: added token -> available tokens: 14 		
Dcc, 10:54:36,040 	 DEBUG 	 AC 0: added token -> available tokens: 14 		
Dcc, 10:54:36,040 	 DEBUG 	 AC 1: added token -> available tokens: 14 		
Dcc, 10:54:37,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:37,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:37,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:37,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:38,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:38,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:38,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:38,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:38,039 	 DEBUG 	 AC 4: added token -> available tokens: 15 		
Dcc, 10:54:38,040 	 DEBUG 	 AC 6: added token -> available tokens: 15 		
Dcc, 10:54:38,040 	 DEBUG 	 AC 0: added token -> available tokens: 15 		
Dcc, 10:54:38,040 	 DEBUG 	 AC 1: added token -> available tokens: 15 		
Dcc, 10:54:39,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:39,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:39,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:39,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:40,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:40,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:40,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:40,039 	 DEBUG 	 dccInfo sent 		
