Ldm, 10:56:34,221 	 DEBUG 	 CAM received 		
Ldm, 10:56:34,722 	 DEBUG 	 camInfo received 		
Ldm, 10:56:34,722 	 DEBUG 	 CAM received 		
Ldm, 10:56:34,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:34,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:34,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:34,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:35,223 	 DEBUG 	 camInfo received 		
Ldm, 10:56:35,223 	 DEBUG 	 CAM received 		
Ldm, 10:56:35,724 	 DEBUG 	 camInfo received 		
Ldm, 10:56:35,724 	 DEBUG 	 CAM received 		
Ldm, 10:56:35,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:35,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:35,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:35,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:36,225 	 DEBUG 	 camInfo received 		
Ldm, 10:56:36,225 	 DEBUG 	 CAM received 		
Ldm, 10:56:36,726 	 DEBUG 	 camInfo received 		
Ldm, 10:56:36,727 	 DEBUG 	 CAM received 		
Ldm, 10:56:36,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:36,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:36,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:36,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:37,728 	 DEBUG 	 camInfo received 		
Ldm, 10:56:37,728 	 DEBUG 	 CAM received 		
Ldm, 10:56:37,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:37,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:37,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:37,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:38,228 	 DEBUG 	 camInfo received 		
Ldm, 10:56:38,229 	 DEBUG 	 CAM received 		
Ldm, 10:56:38,730 	 DEBUG 	 camInfo received 		
Ldm, 10:56:38,730 	 DEBUG 	 CAM received 		
Ldm, 10:56:38,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:38,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:38,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:38,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:39,231 	 DEBUG 	 camInfo received 		
Ldm, 10:56:39,231 	 DEBUG 	 CAM received 		
Ldm, 10:56:39,732 	 DEBUG 	 camInfo received 		
Ldm, 10:56:39,732 	 DEBUG 	 CAM received 		
Ldm, 10:56:39,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:39,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:39,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:39,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:40,233 	 DEBUG 	 camInfo received 		
Ldm, 10:56:40,234 	 DEBUG 	 CAM received 		
Ldm, 10:56:40,734 	 DEBUG 	 camInfo received 		
Ldm, 10:56:40,735 	 DEBUG 	 CAM received 		
Ldm, 10:56:40,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:40,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:40,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:40,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:41,235 	 DEBUG 	 camInfo received 		
Ldm, 10:56:41,236 	 DEBUG 	 CAM received 		
Ldm, 10:56:41,736 	 DEBUG 	 camInfo received 		
Ldm, 10:56:41,737 	 DEBUG 	 CAM received 		
Ldm, 10:56:41,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:41,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:41,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:41,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:42,238 	 DEBUG 	 camInfo received 		
Ldm, 10:56:42,238 	 DEBUG 	 CAM received 		
Ldm, 10:56:42,739 	 DEBUG 	 camInfo received 		
Ldm, 10:56:42,740 	 DEBUG 	 CAM received 		
Ldm, 10:56:42,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:42,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:42,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:42,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:43,240 	 DEBUG 	 camInfo received 		
Ldm, 10:56:43,240 	 DEBUG 	 CAM received 		
Ldm, 10:56:43,741 	 DEBUG 	 camInfo received 		
Ldm, 10:56:43,742 	 DEBUG 	 CAM received 		
Ldm, 10:56:43,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:43,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:43,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:43,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:44,242 	 DEBUG 	 camInfo received 		
Ldm, 10:56:44,243 	 DEBUG 	 CAM received 		
Ldm, 10:56:44,744 	 DEBUG 	 camInfo received 		
Ldm, 10:56:44,744 	 DEBUG 	 CAM received 		
Ldm, 10:56:44,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:44,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:44,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:44,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:45,245 	 DEBUG 	 camInfo received 		
Ldm, 10:56:45,245 	 DEBUG 	 CAM received 		
Ldm, 10:56:45,746 	 DEBUG 	 camInfo received 		
Ldm, 10:56:45,747 	 DEBUG 	 CAM received 		
Ldm, 10:56:45,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:45,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:45,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:45,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:46,248 	 DEBUG 	 camInfo received 		
Ldm, 10:56:46,249 	 DEBUG 	 CAM received 		
Ldm, 10:56:46,749 	 DEBUG 	 camInfo received 		
Ldm, 10:56:46,750 	 DEBUG 	 CAM received 		
Ldm, 10:56:46,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:46,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:46,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:46,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:47,250 	 DEBUG 	 camInfo received 		
Ldm, 10:56:47,250 	 DEBUG 	 CAM received 		
Ldm, 10:56:47,751 	 DEBUG 	 camInfo received 		
Ldm, 10:56:47,752 	 DEBUG 	 CAM received 		
Ldm, 10:56:47,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:47,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:47,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:47,919 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:48,254 	 DEBUG 	 camInfo received 		
Ldm, 10:56:48,255 	 DEBUG 	 CAM received 		
Ldm, 10:56:48,757 	 DEBUG 	 camInfo received 		
Ldm, 10:56:48,758 	 DEBUG 	 CAM received 		
Ldm, 10:56:48,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:48,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:48,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:48,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:49,259 	 DEBUG 	 camInfo received 		
Ldm, 10:56:49,259 	 DEBUG 	 CAM received 		
Ldm, 10:56:49,760 	 DEBUG 	 camInfo received 		
Ldm, 10:56:49,760 	 DEBUG 	 CAM received 		
Ldm, 10:56:49,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:49,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:49,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:49,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:50,261 	 DEBUG 	 camInfo received 		
Ldm, 10:56:50,262 	 DEBUG 	 CAM received 		
Ldm, 10:56:50,763 	 DEBUG 	 camInfo received 		
Ldm, 10:56:50,763 	 DEBUG 	 CAM received 		
Ldm, 10:56:50,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:50,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:50,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:50,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:51,264 	 DEBUG 	 camInfo received 		
Ldm, 10:56:51,264 	 DEBUG 	 CAM received 		
Ldm, 10:56:51,765 	 DEBUG 	 camInfo received 		
Ldm, 10:56:51,766 	 DEBUG 	 CAM received 		
Ldm, 10:56:51,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:51,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:51,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:51,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:52,266 	 DEBUG 	 camInfo received 		
Ldm, 10:56:52,267 	 DEBUG 	 CAM received 		
Ldm, 10:56:52,768 	 DEBUG 	 camInfo received 		
Ldm, 10:56:52,768 	 DEBUG 	 CAM received 		
Ldm, 10:56:52,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:52,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:52,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:52,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:56,498 	 INFO  	 Opened database successfully 		
Ldm, 10:56:57,249 	 DEBUG 	 CAM received 		
Ldm, 10:56:57,249 	 DEBUG 	 camInfo received 		
Ldm, 10:56:57,249 	 DEBUG 	 waiting for request 		
Ldm, 10:56:57,249 	 DEBUG 	 CAM received 		
Ldm, 10:56:57,249 	 DEBUG 	 camInfo received 		
Ldm, 10:56:57,615 	 DEBUG 	 camInfo received 		
Ldm, 10:56:57,615 	 DEBUG 	 CAM received 		
Ldm, 10:56:57,716 	 DEBUG 	 camInfo received 		
Ldm, 10:56:57,716 	 DEBUG 	 CAM received 		
Ldm, 10:56:57,816 	 DEBUG 	 camInfo received 		
Ldm, 10:56:57,817 	 DEBUG 	 CAM received 		
Ldm, 10:56:57,917 	 DEBUG 	 camInfo received 		
Ldm, 10:56:57,917 	 DEBUG 	 CAM received 		
Ldm, 10:56:58,017 	 DEBUG 	 camInfo received 		
Ldm, 10:56:58,018 	 DEBUG 	 CAM received 		
Ldm, 10:56:58,618 	 DEBUG 	 camInfo received 		
Ldm, 10:56:58,619 	 DEBUG 	 CAM received 		
Ldm, 10:56:58,719 	 DEBUG 	 camInfo received 		
Ldm, 10:56:58,719 	 DEBUG 	 CAM received 		
Ldm, 10:56:58,820 	 DEBUG 	 camInfo received 		
Ldm, 10:56:58,820 	 DEBUG 	 CAM received 		
Ldm, 10:56:58,920 	 DEBUG 	 camInfo received 		
Ldm, 10:56:58,920 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,021 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,021 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,121 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,121 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,222 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,222 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,322 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,323 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,423 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,423 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,523 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,524 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,624 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,624 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,724 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,725 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,825 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,825 	 DEBUG 	 CAM received 		
Ldm, 10:56:59,925 	 DEBUG 	 camInfo received 		
Ldm, 10:56:59,926 	 DEBUG 	 CAM received 		
Ldm, 10:57:00,026 	 DEBUG 	 camInfo received 		
Ldm, 10:57:00,026 	 DEBUG 	 CAM received 		
Ldm, 10:57:00,126 	 DEBUG 	 camInfo received 		
Ldm, 10:57:00,127 	 DEBUG 	 CAM received 		
Ldm, 10:57:00,227 	 DEBUG 	 camInfo received 		
Ldm, 10:57:00,227 	 DEBUG 	 CAM received 		
Ldm, 10:57:00,327 	 DEBUG 	 camInfo received 		
Ldm, 10:57:00,328 	 DEBUG 	 CAM received 		
Ldm, 10:57:00,428 	 DEBUG 	 camInfo received 		
Ldm, 10:57:00,428 	 DEBUG 	 CAM received 		
Ldm, 10:57:00,529 	 DEBUG 	 camInfo received 		
Ldm, 10:57:00,529 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,129 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,130 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,230 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,230 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,331 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,331 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,431 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,432 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,532 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,533 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,633 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,633 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,653 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:01,653 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:01,654 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:01,654 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:01,734 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,735 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,835 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,835 	 DEBUG 	 CAM received 		
Ldm, 10:57:01,935 	 DEBUG 	 camInfo received 		
Ldm, 10:57:01,937 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,037 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,037 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,137 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,138 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,238 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,239 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,339 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,340 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,440 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,440 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,540 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,541 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,641 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,642 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,653 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:02,653 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:02,654 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:02,654 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:02,742 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,742 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,842 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,843 	 DEBUG 	 CAM received 		
Ldm, 10:57:02,943 	 DEBUG 	 camInfo received 		
Ldm, 10:57:02,944 	 DEBUG 	 CAM received 		
Ldm, 10:57:03,044 	 DEBUG 	 camInfo received 		
Ldm, 10:57:03,044 	 DEBUG 	 CAM received 		
Ldm, 10:57:03,144 	 DEBUG 	 camInfo received 		
Ldm, 10:57:03,145 	 DEBUG 	 CAM received 		
Ldm, 10:57:03,245 	 DEBUG 	 camInfo received 		
Ldm, 10:57:03,246 	 DEBUG 	 CAM received 		
Ldm, 10:57:03,346 	 DEBUG 	 camInfo received 		
Ldm, 10:57:03,346 	 DEBUG 	 CAM received 		
Ldm, 10:57:03,447 	 DEBUG 	 camInfo received 		
Ldm, 10:57:03,447 	 DEBUG 	 CAM received 		
Ldm, 10:57:03,547 	 DEBUG 	 camInfo received 		
Ldm, 10:57:03,548 	 DEBUG 	 CAM received 		
Ldm, 10:57:03,648 	 DEBUG 	 camInfo received 		
Ldm, 10:57:03,649 	 DEBUG 	 CAM received 		
Ldm, 10:57:03,653 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:03,653 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:03,653 	 DEBUG 	 dccInfo received 		
Ldm, 10:57:03,654 	 DEBUG 	 dccInfo received 		
